Program Name;Description;Program Status;Organization Name;Program Population Served;Address Extra Info;Location Address;Local Areas;Provides Meals;Provides Hampers;Delivery Available;Takeout Available;Wheelchair Accessible;Meal Cost;Hamper Cost;Signup Required;Signup Phone Number;Signup Email;Requires Referral;Referral Agency Name;Referral Phone Number;Referral Email;Latitude;Longitude;Last Update Date;geom
Mount Pleasant N'hood House;Come and share a meal with your neighbours at our Community Lunch every second Friday from 11:45AM-1PM. Lunch is served at noon. A single meal costs $5.;Open;Mount Pleasant Neighbourhood House;;;;;True;False;No;Unknown;Yes;Low cost;;Yes;(604) 879-8208;;No;;;;;;2025-09-11T02:50:03-07:00;
Vancouver Community Fridge - Kerrisdale;Fridge and pantry stocked with free food, located in in a brown shed to the left of the pantry area at St. Mary's. Accessible 24/7. More info at https://vcfp.square.site/ [vcfp.square.site]. Free;Open;Vancouver Community Fridge Project;;;2490 W 37th Ave, Vancouver, BC;Arbutus-Ridge;False;False;No;Unknown;Yes;;;No;;;No;;;;49.238113;-123.162105;2024-12-12T03:46:31-08:00;49.238113, -123.162105
Union Gospel Mission - Meal Program;Lunch every day at 11am (tickets at 10:45am). Dinner M-F at 6pm (tickets at 5:45pm), Sat-Sun at 4pm (tickets at 3:45pm). For info call (604) 253-3323.;Open;Union Gospel Mission;;;601 E Hastings St, Vancouver, BC;Strathcona;True;False;No;Yes;Yes;Free;;No;;;No;;;;49.281483;-123.091066;2023-08-28T08:16:50-07:00;49.281483, -123.091066
Mount Pleasant N'hood House - Referral Support;For information about meals and groceries available, call (604) 879-8208;Open;Mount Pleasant Neighbourhood House;;;800 E Broadway, Vancouver, BC;Mount Pleasant;False;False;No;Unknown;Unknown;;;Unknown;;;No;;;;49.262154;-123.086769;2024-05-15T02:54:09-07:00;49.262154, -123.086769
Collingwood N'hood House - Morning Star Breakfast;Sat, 7am clothing and showers, 8-8:30am breakfast. More info (604) 435-0323.;Open;Collingwood Neighbourhood House;;;5288 Joyce St, Vancouver, BC;Renfrew-Collingwood;True;False;No;Unknown;Yes;Free;;Unknown;;;No;;;;49.236608;-123.032888;2023-07-20T08:25:48-07:00;49.236608, -123.032888
YWCA Crabtree Corner - Meal Programs;"Breakfast: Mon-Fri, 9-10am. 
Lunch: Mon-Fri: 1-2:pm. No lunch on income assistance days.";Open;YWCA Metro Vancouver;Women and children;;533 E Hastings St, Vancouver, BC;Strathcona;True;False;No;Yes;Yes;Free;;No;;;No;;;;49.281501;-123.092398;2024-12-06T01:54:08-08:00;49.281501, -123.092398
St. James Community Square Pantry;Take what you need and give what you can to this pantry stocked with non-perishable foods, available 24/7. Located outside the community centre on Trutch Street. More info at www.sjcommunitysquare.org/;Open;St. James Community Square;;;3214 W 10th Ave, Vancouver, BC;;False;False;Unknown;Unknown;Unknown;;;Unknown;;;Unknown;;;;49.263054;-123.176515;2023-09-11T08:20:38-07:00;49.263054, -123.176515
Carnegie Community Centre - Cafeteria;Meals served daily. Breakfast ($2.25) at 9-11am, Lunch ($2.75) at 12-4pm, Dinner ($3.50) at 5-8pm.;Open;Carnegie Centre;;;401 Main St, Vancouver, BC;Downtown;True;False;No;No;Yes;Low cost;;No;;;No;;;;49.28106;-123.100121;2022-08-22T04:35:47-07:00;49.28106, -123.100121
Muslim Care Centre - Meal Program;Mon-Fri at 5:30pm, Sat at 1pm, Sun at Noon;Open;Muslim Care Centre;;;140 E Hastings St, Vancouver, BC;Downtown;True;False;Unknown;Yes;Yes;Free;;No;;;No;;;;49.281319;-123.101134;2024-12-06T01:45:11-08:00;49.281319, -123.101134
Kiwassa Neighbourhood House - Community Lunch;First & third Friday of the month, 12:15pm. 3 course meal. Seniors $7, children 12 & under $5, everyone else $8. Please inform staff during sign up if a vegetarian meal is needed. Walk-ins taken as space permits. For more info contact food@kiwassa.ca;Open;Kiwassa Neighbourhood House;;;2425 Oxford St, Vancouver, BC;Hastings-Sunrise;True;False;Unknown;Unknown;Yes;Low cost;;Yes;(604) 254-5401;;Unknown;;;;49.286005;-123.055856;2024-12-06T08:17:11-08:00;49.286005, -123.055856
Ribbon Community - Supplementary Grocery Program;Groceries include protein, milk, eggs, and produce. Grocery bags available for pick up on scheduled days. See current schedule at https://www.ribboncommunity.org/grocery. To do an intake and assess eligibility, contact (604) 893-2201 and/or welcome@ribboncommunity.org;Open;Ribbon Community;Community Case Management clients and participants from The Corner;;1101 Seymour St, Vancouver, BC;Downtown;False;True;No;Unknown;Unknown;;Free;Yes;(604) 893-2201;contact@aidsvancouver.org;No;;;;49.277532;-123.123682;2024-12-06T08:17:41-08:00;49.277532, -123.123682
CityReach - Food for Families (Culloden Court);Nutritious foodbank. Fri 3-4pm. Not currently accepting new registrations, more info at https://www.cityreach.org/foodforfamilies;Open;CityReach Care Society;individuals and families referred by a partner agency or school, and residents within the geographic borders of Main, Victoria, East 41st Avenue and Fraser River;;6265 Knight St, Vancouver, BC;Sunset;False;True;No;Unknown;Yes;;Free;Yes;;fff@cityreach.org;No;;;;49.227744;-123.077321;2023-08-28T06:52:30-07:00;49.227744, -123.077321
Little Mtn N'hood House-Food Distribution Program;Weekly market providing free produce and non-perishable food. Currently admitting families with kids and single parents (Limited spots).;Open;Little Mountain Neighbourhood House;registered individuals living within the boundaries of Cambie to Knight Street and 16th to 49th ave;;4580 Walden St, Vancouver, BC;Riley Park;False;True;No;Unknown;Yes;;Free;Yes;;fooddistribution@lmnhs.bc.ca;No;;;;49.243439;-123.099941;2023-09-08T02:29:08-07:00;49.243439, -123.099941
Saige Community Food Bank - Food Hamper Pickup;Two-spirit, trans and gender diverse safe space program open for all individuals in need of healthy food options. A food hamper with fresh produce and baked goods available on the 2nd and 4th Fridays of the month. www.saigecommunityfoodbank.com;Open;Saige Community Food Bank;;;2425 Oxford St, Vancouver, BC;Hastings-Sunrise;False;True;No;Unknown;Unknown;;Free;Yes;;fb@saigecommunityfoodbank.com;No;;;;49.286005;-123.055856;2024-12-10T00:51:41-08:00;49.286005, -123.055856
Food Stash - Rescued Food Market;Thursdays, 3-7pm fresh food market (fruit, vegetables, dairy, meat).  $24 one-time registration fee (3-month membership);Open;Food Stash Foundation;;;290 E 1st Ave, Vancouver, BC;Strathcona;False;True;No;No;Yes;;;Yes;(604) 862-9701;https://www.foodstash.ca/market;No;;;;49.268401;-123.097959;2024-12-06T08:15:56-08:00;49.268401, -123.097959
Vancouver Community Fridge - Kitsilano;Fridge and pantry stocked with free food, located in the alley behind the red house and garden at the above address. Accessible 24/7. More info at https://vcfp.square.site/;Open;Vancouver Community Fridge Project;;Located in the alley by the red house and big garden.;3066 West 13th Ave;Kitsilano;False;True;No;Unknown;Yes;;Free;No;;;No;;;;49.26029;-123.173496;2024-12-10T00:42:46-08:00;49.26029, -123.173496
Collingwood Community Fridge and Pantry;Fridge and pantry stocked with free food, and located on the west facing side of Collingwood Neighbourhood House, adjacent to the gym entrance. Open 24/7. Wheelchair accessible. For more info, contact foodhub@cnh.bc.ca.;Open;Collingwood Neighbourhood House;;;5288 Joyce St, Vancouver, BC;Renfrew-Collingwood;False;True;No;Unknown;Yes;;Free;No;;;No;;;;49.236608;-123.032888;2024-12-13T06:52:09-08:00;49.236608, -123.032888
